text,verb,synonym_set,cloze_verb,verb_prob,verb_logprob,response_text
I suggest we change this by adding.,change,change,adding,7.53,-2.59,
I suggest we change this by subtracting.,change,change,subtracting,0.01,-9.51,
I suggest we change this by removing.,change,change,removing,1.77,-4.03,
I suggest we adjust this by adding.,adjust,change,adding,11.06,-2.2,
I suggest we adjust this by subtracting.,adjust,change,subtracting,0.23,-6.08,
I suggest we adjust this by removing.,adjust,change,removing,2,-3.91,
I suggest we convert this by adding.,convert,change,adding,1.09,-4.51,
I suggest we convert this by subtracting.,convert,change,subtracting,0.08,-7.16,
I suggest we convert this by removing.,convert,change,removing,1.12,-4.5,
I suggest we moderate this by adding.,moderate,change,adding,4.94,-3.01,
I suggest we moderate this by subtracting.,moderate,change,subtracting,0.01,-8.97,
I suggest we moderate this by removing.,moderate,change,removing,1.12,-4.49,
I suggest we modify this by adding.,modify,change,adding,19.04,-1.66,
I suggest we modify this by subtracting.,modify,change,subtracting,0.03,-8.17,
I suggest we modify this by removing.,modify,change,removing,3.03,-3.5,
I suggest we reform this by adding.,reform,change,adding,4.44,-3.11,
I suggest we reform this by subtracting.,reform,change,subtracting,0,-10.12,
I suggest we reform this by removing.,reform,change,removing,1.6,-4.13,
I suggest we remodel this by adding.,remodel,change,adding,11.05,-2.2,
I suggest we remodel this by subtracting.,remodel,change,subtracting,0.01,-9.31,
I suggest we remodel this by removing.,remodel,change,removing,3.96,-3.23,
I suggest we reorganize this by adding.,reorganize,change,adding,2.62,-3.64,
I suggest we reorganize this by subtracting.,reorganize,change,subtracting,0.01,-9.73,
I suggest we reorganize this by removing.,reorganize,change,removing,1.59,-4.14,"I suggest we reorganize this by removing the ""Criticism"" section and adding a ""Reception"" section. The ""Criticism"" section is mostly negative and seems to be written by people who don't like the game. The ""Reception"" section would be more positive and would be written by people who have actually played the game."
I suggest we restyle this by adding.,restyle,change,adding,9.68,-2.34,
I suggest we restyle this by subtracting.,restyle,change,subtracting,0.01,-9.8,
I suggest we restyle this by removing.,restyle,change,removing,5.62,-2.88,
I suggest we revise this by adding.,revise,change,adding,13.9,-1.97,
I suggest we revise this by subtracting.,revise,change,subtracting,0.01,-9.18,
I suggest we revise this by removing.,revise,change,removing,2.88,-3.55,
I suggest we transform this by adding.,transform,change,adding,2.88,-3.55,
I suggest we transform this by subtracting.,transform,change,subtracting,0.56,-5.19,
I suggest we transform this by removing.,transform,change,removing,2.35,-3.75,
I suggest we improve this by adding.,improve,improve,adding,14.19,-1.95,
I suggest we improve this by subtracting.,improve,improve,subtracting,0,-10.57,
I suggest we improve this by removing.,improve,improve,removing,0.96,-4.65,
I suggest we ameliorate this by adding.,ameliorate,improve,adding,4.21,-3.17,
I suggest we ameliorate this by subtracting.,ameliorate,improve,subtracting,0,-10.31,
I suggest we ameliorate this by removing.,ameliorate,improve,removing,1,-4.6,
I suggest we amend this by adding.,amend,improve,adding,19.71,-1.62,
I suggest we amend this by subtracting.,amend,improve,subtracting,0.01,-9.09,
I suggest we amend this by removing.,amend,improve,removing,3.7,-3.3,
I suggest we augment this by adding.,augment,improve,adding,18.59,-1.68,
I suggest we augment this by subtracting.,augment,improve,subtracting,0.01,-9.57,
I suggest we augment this by removing.,augment,improve,removing,0.42,-5.47,
I suggest we better this by adding.,better,improve,adding,6.12,-2.79,
I suggest we better this by subtracting.,better,improve,subtracting,0.01,-9.87,
I suggest we better this by removing.,better,improve,removing,0.72,-4.93,
I suggest we embellish this by adding.,embellish,improve,adding,23.18,-1.46,
I suggest we embellish this by subtracting.,embellish,improve,subtracting,0,-10.05,
I suggest we embellish this by removing.,embellish,improve,removing,0.35,-5.66,
I suggest we enhance this by adding.,enhance,improve,adding,25.76,-1.36,
I suggest we enhance this by subtracting.,enhance,improve,subtracting,0,-10.54,
I suggest we enhance this by removing.,enhance,improve,removing,0.48,-5.34,
I suggest we mend this by adding.,mend,improve,adding,1.93,-3.95,
I suggest we mend this by subtracting.,mend,improve,subtracting,0,-10.34,
I suggest we mend this by removing.,mend,improve,removing,0.69,-4.98,
I suggest we upgrade this by adding.,upgrade,improve,adding,14.7,-1.92,
I suggest we upgrade this by subtracting.,upgrade,improve,subtracting,0,-10.01,
I suggest we upgrade this by removing.,upgrade,improve,removing,1.08,-4.52,
